Location	Name	ID	Count	Slots
Bank11-Slot7-Slot9	Empty	0	0	0
Bank11-Slot7-Slot10	Empty	0	0	0
Bank11-Slot8	Cloak of Shadows +1	2408	1	10
Bank11-Slot8-Slot7	Empty	0	0	0
Bank12	Backpack	17005	1	8
Bank12-Slot1	Short Sword of the Ykesha +4	5500	1	10
Bank12-Slot1-Slot2	Empty	0	0	0
Bank12-Slot1-Slot7	Empty	0	0	0
Bank12-Slot1-Slot8	Empty	0	0	0
Bank12-Slot1-Slot9	Empty	0	0	0
Bank12-Slot1-Slot10	Empty	0	0	0
Bank12-Slot2	Short Sword of the Ykesha +4	5500	1	10
Bank12-Slot2-Slot2	Empty	0	0	0
Bank12-Slot2-Slot7	Empty	0	0	0
Bank12-Slot2-Slot8	Empty	0	0	0
Bank12-Slot2-Slot9	Empty	0	0	0
Bank12-Slot2-Slot10	Shimmering Ruby Stiletto (Exaltation)	5820	1	10
Bank12-Slot3	Serpent's Tooth	7257	1	10
Bank12-Slot3-Slot2	Empty	0	0	0
Bank12-Slot4	Enchanted Fine Steel Great Staff +4	5215	1	10
Bank12-Slot4-Slot2	Empty	0	0	0
Bank12-Slot4-Slot7	Empty	0	0	0
Bank12-Slot4-Slot8	Empty	0	0	0
Bank12-Slot4-Slot9	Empty	0	0	0
Bank12-Slot4-Slot10	Empty	0	0	0
Bank12-Slot5	Fleshripper +1	5411	1	10
Bank12-Slot5-Slot2	Empty	0	0	0
Bank12-Slot5-Slot7	Empty	0	0	0
Bank12-Slot6	Verishe Mal Greataxe +7	177918	1	10
Bank12-Slot6-Slot1	Empty	0	0	0
Bank12-Slot6-Slot7	Empty	0	0	0
Bank12-Slot6-Slot8	Empty	0	0	0
Bank12-Slot6-Slot9	Empty	0	0	0
Bank12-Slot6-Slot10	Executioner's Axe (Exaltation)	5407	1	10
Bank12-Slot7	Runed Falchion +4	5503	1	10
Bank12-Slot7-Slot2	Empty	0	0	0
Bank12-Slot7-Slot7	Empty	0	0	0
Bank12-Slot7-Slot8	Empty	0	0	0
Bank12-Slot7-Slot9	Empty	0	0	0
Bank12-Slot7-Slot10	Empty	0	0	0
Bank12-Slot8	Silver Plated War Sword +4	1876	1	10
Bank12-Slot8-Slot2	Empty	0	0	0
Bank12-Slot8-Slot7	Empty	0	0	0
Bank12-Slot8-Slot8	Empty	0	0	0
Bank12-Slot8-Slot9	Empty	0	0	0
Bank12-Slot8-Slot10	Empty	0	0	0
Bank13	Backpack	17005	1	8
Bank13-Slot1	Shadow Rage Wristguard +4	55604	1	10
Bank13-Slot1-Slot2	Empty	0	0	0
Bank13-Slot1-Slot7	Empty	0	0	0
Bank13-Slot1-Slot8	Empty	0	0	0
Bank13-Slot1-Slot9	Empty	0	0	0
Bank13-Slot1-Slot10	Empty	0	0	0
Bank13-Slot2	Shiverback-Hide Leggings +4	1205	1	10
Bank13-Slot2-Slot2	Empty	0	0	0
Bank13-Slot2-Slot7	Empty	0	0	0
Bank13-Slot2-Slot8	Empty	0	0	0
Bank13-Slot2-Slot9	Empty	0	0	0
Bank13-Slot2-Slot10	Empty	0	0	0
Bank13-Slot3	Shadow Rage Leggings +5	55606	1	10
Bank13-Slot3-Slot2	Empty	0	0	0
Bank13-Slot3-Slot7	Empty	0	0	0
Bank13-Slot3-Slot8	Empty	0	0	0
Bank13-Slot3-Slot9	Empty	0	0	0
Bank13-Slot3-Slot10	Empty	0	0	0
Bank13-Slot4	Rune Etched Vambraces +5	4873	1	10
Bank13-Slot4-Slot2	Empty	0	0	0
Bank13-Slot4-Slot7	Empty	0	0	0
Bank13-Slot4-Slot8	Empty	0	0	0
Bank13-Slot4-Slot9	Empty	0	0	0
Bank13-Slot4-Slot10	Empty	0	0	0
Bank13-Slot5	Rune Etched Bracer +4	4874	1	10
Bank13-Slot5-Slot2	Empty	0	0	0
Bank13-Slot5-Slot7	Empty	0	0	0
Bank13-Slot5-Slot8	Empty	0	0	0
Bank13-Slot5-Slot9	Empty	0	0	0
Bank13-Slot5-Slot10	Empty	0	0	0
Bank13-Slot6	Pristine Studded Leather Bracer +5	1881	1	10
Bank13-Slot6-Slot2	Empty	0	0	0
Bank13-Slot6-Slot7	Empty	0	0	0
Bank13-Slot6-Slot8	Empty	0	0	0
Bank13-Slot6-Slot9	Empty	0	0	0
Bank13-Slot6-Slot10	Empty	0	0	0
Bank13-Slot7	Ethereal Mist Helm +4	4881	1	10
Bank13-Slot7-Slot2	Empty	0	0	0
Bank13-Slot7-Slot7	Empty	0	0	0
Bank13-Slot7-Slot8	Empty	0	0	0
Bank13-Slot7-Slot9	Empty	0	0	0
Bank13-Slot7-Slot10	Empty	0	0	0
Bank13-Slot8	Lustrous Russet Greaves +4	4836	1	10
Bank13-Slot8-Slot2	Empty	0	0	0
Bank13-Slot8-Slot7	Empty	0	0	0
Bank13-Slot8-Slot8	Empty	0	0	0
Bank13-Slot8-Slot9	Empty	0	0	0
Bank13-Slot8-Slot10	Empty	0	0	0
Bank14	Backpack	17005	1	8
Bank14-Slot1	Empty	0	0	0
Bank14-Slot2	Empty	0	0	0
Bank14-Slot3	Empty	0	0	0
Bank14-Slot4	Empty	0	0	0
Bank14-Slot5	Empty	0	0	0
Bank14-Slot6	Empty	0	0	0
Bank14-Slot7	Empty	0	0	0
Bank14-Slot8	Prickly Pear	10195	1	10
Bank15	Backpack	17005	1	8
Bank15-Slot1	Ethereal Mist Greaves +5	4886	1	10
Bank15-Slot1-Slot2	Empty	0	0	0
Bank15-Slot1-Slot7	Empty	0	0	0
Bank15-Slot1-Slot8	Empty	0	0	0
Bank15-Slot1-Slot9	Empty	0	0	0
Bank15-Slot1-Slot10	Empty	0	0	0
Bank15-Slot2	Indicolite Greaves +4	4916	1	10
Bank15-Slot2-Slot2	Empty	0	0	0
Bank15-Slot2-Slot7	Empty	0	0	0
Bank15-Slot2-Slot8	Empty	0	0	0
Bank15-Slot2-Slot9	Empty	0	0	0
Bank15-Slot2-Slot10	Empty	0	0	0
Bank15-Slot3	Serpentine Bracer +4	10148	1	10
Bank15-Slot3-Slot2	Empty	0	0	0
Bank15-Slot3-Slot7	Serpentine Bracer (Exaltation)	10148	1	10
Bank15-Slot3-Slot8	Empty	0	0	0
Bank15-Slot3-Slot9	Empty	0	0	0
Bank15-Slot3-Slot10	Empty	0	0	0
Bank15-Slot4	Imbrued Platemail Vambraces +4	4863	1	10
Bank15-Slot4-Slot2	Empty	0	0	0
Bank15-Slot4-Slot7	Empty	0	0	0
Bank15-Slot4-Slot8	Empty	0	0	0
Bank15-Slot4-Slot9	Empty	0	0	0
Bank15-Slot4-Slot10	Empty	0	0	0
Bank15-Slot5	Ethereal Mist Bracers +4	4884	1	10
Bank15-Slot5-Slot2	Empty	0	0	0
Bank15-Slot5-Slot7	Empty	0	0	0
Bank15-Slot5-Slot8	Empty	0	0	0
Bank15-Slot5-Slot9	Empty	0	0	0
Bank15-Slot5-Slot10	Empty	0	0	0
Bank15-Slot6	Imbrued Platemail Greaves +5	4866	1	10
Bank15-Slot6-Slot2	Empty	0	0	0
Bank15-Slot6-Slot7	Empty	0	0	0
Bank15-Slot6-Slot8	Empty	0	0	0
Bank15-Slot6-Slot9	Empty	0	0	0
Bank15-Slot6-Slot10	Empty	0	0	0
Bank15-Slot7	Mudman Enforcer +4	6691	1	10
Bank15-Slot7-Slot2	Empty	0	0	0
Bank15-Slot7-Slot7	Empty	0	0	0
Bank15-Slot7-Slot8	Empty	0	0	0
Bank15-Slot7-Slot9	Empty	0	0	0
Bank15-Slot7-Slot10	Empty	0	0	0
Bank15-Slot8	Runed Mithril Bracer +2	4406	1	10
Bank15-Slot8-Slot2	Empty	0	0	0
Bank15-Slot8-Slot7	Runed Mithril Bracer (Exaltation)	4406	1	10
Bank15-Slot8-Slot8	Empty	0	0	0
Bank16	Backpack	17005	1	8
Bank16-Slot1	Kicsh Der Pavz +4	5499	1	10
Bank16-Slot1-Slot2	Empty	0	0	0
Bank16-Slot1-Slot7	Empty	0	0	0
Bank16-Slot1-Slot8	Empty	0	0	0
Bank16-Slot1-Slot9	Empty	0	0	0
Bank16-Slot1-Slot10	Empty	0	0	0
Bank16-Slot2	Hierophant`s Crook	11629	1	10
Bank16-Slot2-Slot2	Empty	0	0	0
Bank16-Slot3	Sword of the Lost +4	177837	1	10
Bank16-Slot3-Slot1	Empty	0	0	0
Bank16-Slot3-Slot7	Empty	0	0	0
Bank16-Slot3-Slot8	Empty	0	0	0
Bank16-Slot3-Slot9	Empty	0	0	0
Bank16-Slot3-Slot10	Kicsh Der Pavz (Exaltation)	5499	1	10
Bank16-Slot4	Crystalline Spear +2	11610	1	10
Bank16-Slot4-Slot2	Empty	0	0	0
Bank16-Slot4-Slot7	Empty	0	0	0
Bank16-Slot4-Slot8	Empty	0	0	0
Bank16-Slot5	TornEar Thumper +1	177916	1	10
Bank16-Slot5-Slot1	Empty	0	0	0
Bank16-Slot5-Slot7	Empty	0	0	0
Bank16-Slot6	Executioner's Axe +4	5407	1	10
Bank16-Slot6-Slot2	Empty	0	0	0
Bank16-Slot6-Slot7	Empty	0	0	0
Bank16-Slot6-Slot8	Empty	0	0	0
Bank16-Slot6-Slot9	Empty	0	0	0
Bank16-Slot6-Slot10	Empty	0	0	0
Bank16-Slot7	Painbringer +2	5410	1	10
Bank16-Slot7-Slot2	Empty	0	0	0
Bank16-Slot7-Slot7	Empty	0	0	0
Bank16-Slot7-Slot8	Empty	0	0	0
Bank16-Slot8	Enchanted Fine Steel Morning Star +5	5214	1	10
Bank16-Slot8-Slot2	Empty	0	0	0
Bank16-Slot8-Slot7	Empty	0	0	0
Bank16-Slot8-Slot8	Empty	0	0	0
Bank16-Slot8-Slot9	Empty	0	0	0
Bank16-Slot8-Slot10	Empty	0	0	0
Bank17	Empty	0	0	0
Bank18	Empty	0	0	0
Bank19	Empty	0	0	0
Bank20	Empty	0	0	0
Bank21	Empty	0	0	0
Bank22	Empty	0	0	0
Bank23	Empty	0	0	0
Bank24	Empty	0	0	0
SharedBank1	Empty	0	0	0
SharedBank2	Empty	0	0	0
SharedBank3	Empty	0	0	0
SharedBank4	Empty	0	0	0
SharedBank5	Empty	0	0	0
SharedBank6	Empty	0	0	0

KeyRing	Name	ID	
